Row(palavra='-', count=36)
Row(palavra='[x]', count=21)
Row(palavra='de', count=13)
Row(palavra='###', count=11)
Row(palavra='[sprint', count=10)
Row(palavra=']', count=8)
Row(palavra='e', count=8)
Row(palavra='[', count=8)
Row(palavra='exercício', count=7)
Row(palavra='em', count=6)
Row(palavra='<br>', count=4)
Row(palavra='##', count=4)
Row(palavra='aws', count=4)
Row(palavra='do', count=3)
Row(palavra='área', count=2)
Row(palavra='dados', count=2)
Row(palavra='sistemas', count=2)
Row(palavra='o', count=2)
Row(palavra='data', count=2)
Row(palavra='apache', count=2)
Row(palavra='basic', count=2)
Row(palavra='skill', count=2)
Row(palavra='conteúdo', count=2)
Row(palavra='builder', count=2)
Row(palavra='uma', count=2)
Row(palavra='no', count=2)
Row(palavra='quicksight', count=2)
Row(palavra='a', count=2)
Row(palavra='python', count=2)
Row(palavra='na', count=2)
Row(palavra='🌟', count=1)
Row(palavra='jorge,', count=1)
Row(palavra='especialização', count=1)
Row(palavra='laboratório', count=1)
Row(palavra='(corrida,', count=1)
Row(palavra='violão', count=1)
Row(palavra='construção', count=1)
Row(palavra='6](sprint%206/readme.md)', count=1)
Row(palavra='é', count=1)
Row(palavra='fotografia,', count=1)
Row(palavra='curso', count=1)
Row(palavra='cidade', count=1)
Row(palavra='natação', count=1)
Row(palavra='plano', count=1)
Row(palavra='4](sprint%204/readme.md)', count=1)
Row(palavra='uol', count=1)
Row(palavra='cartão](https://jorgechiozzini.github.io/mylanding/)', count=1)
Row(palavra='matriculado', count=1)
Row(palavra='down', count=1)
Row(palavra='esforços', count=1)
Row(palavra='associado', count=1)
Row(palavra='programação', count=1)
Row(palavra='syntax](https://docs.github.com/en/get-started/writing-on-github/getting-started-with-writing-and-formatting-on-github/basic-writing-and-formatting-syntax)', count=1)
Row(palavra='com', count=1)
Row(palavra='sou', count=1)
Row(palavra='[introdução](sprint%200/readme.md)', count=1)
Row(palavra='música', count=1)
Row(palavra='sprints,', count=1)
Row(palavra='9](sprint%209/readme.md)', count=1)
Row(palavra='3.', count=1)
Row(palavra='*', count=1)
Row(palavra='nos', count=1)
Row(palavra='9.', count=1)
Row(palavra='sprints', count=1)
Row(palavra='descritiva', count=1)
Row(palavra='meu', count=1)
Row(palavra='10](sprint%2010/readme.md)', count=1)
Row(palavra='concentrando', count=1)
Row(palavra='links', count=1)
Row(palavra='você', count=1)
Row(palavra='syntax](https://www.markdownguide.org/basic-syntax/)', count=1)
Row(palavra='entusiasta', count=1)
Row(palavra='baterista', count=1)
Row(palavra='___', count=1)
Row(palavra='ciência', count=1)
Row(palavra='literatura.', count=1)
Row(palavra='mim', count=1)
Row(palavra='pífano)', count=1)
Row(palavra='💡', count=1)
Row(palavra='compass', count=1)
Row(palavra='4º', count=1)
Row(palavra='desenvolvimento', count=1)
Row(palavra='estudos', count=1)
Row(palavra='8](sprint%208/readme.md)', count=1)
Row(palavra='analytics</h1>', count=1)
Row(palavra='aprendizado', count=1)
Row(palavra='por', count=1)
Row(palavra='docker', count=1)
Row(palavra='paulo.', count=1)
Row(palavra='clássico', count=1)
Row(palavra='estatística', count=1)
Row(palavra='<h1', count=1)
Row(palavra='🤖', count=1)
Row(palavra='organizado', count=1)
Row(palavra='tranquila', count=1)
Row(palavra='estudos,', count=1)
Row(palavra='<a', count=1)
Row(palavra='(sou', count=1)
Row(palavra='10.', count=1)
Row(palavra='desafio', count=1)
Row(palavra='pelo', count=1)
Row(palavra='sql', count=1)
Row(palavra='método.', count=1)
Row(palavra='atualmente,', count=1)
Row(palavra='período', count=1)
Row(palavra='[desafio', count=1)
Row(palavra='ciclismo,', count=1)
Row(palavra='meus', count=1)
Row(palavra='encontrará', count=1)
Row(palavra='5.', count=1)
Row(palavra='bolsas', count=1)
